id,description,state_id,division_id,msa_id
22113,Vermilion Parish,52,"",10020
46013,Brown County,37,"",10100
46045,Edmunds County,37,"",10100
53027,Grays Harbor County,51,"",10140
48059,Callahan County,25,"",10180
48253,Jones County,25,"",10180
48441,Taylor County,25,"",10180
40123,Pontotoc County,36,"",10220
72001,Adjuntas Municipio,16,"",10260
26091,Lenawee County,35,"",10300
72003,Aguada Municipio,16,"",10380
72005,Aguadilla Municipio,16,"",10380
72011,Añasco Municipio,16,"",10380
72071,Isabela Municipio,16,"",10380
72081,Lares Municipio,16,"",10380
72099,Moca Municipio,16,"",10380
72117,Rincón Municipio,16,"",10380
72131,San Sebastián Municipio,16,"",10380
39133,Portage County,21,"",10420
39153,Summit County,21,"",10420
35035,Otero County,48,"",10460
13007,Baker County,24,"",10500
13095,Dougherty County,24,"",10500
13177,Lee County,24,"",10500
13273,Terrell County,24,"",10500
13321,Worth County,24,"",10500
41043,Linn County,20,"",10540
36001,Albany County,4,"",10580
36083,Rensselaer County,4,"",10580
36091,Saratoga County,4,"",10580
36093,Schenectady County,4,"",10580
36095,Schoharie County,4,"",10580
37167,Stanly County,50,"",10620
27047,Freeborn County,11,"",10660
01095,Marshall County,3,"",10700
35001,Bernalillo County,48,"",10740
35043,Sandoval County,48,"",10740
35057,Torrance County,48,"",10740
35061,Valencia County,48,"",10740
01037,Coosa County,3,"",10760
01123,Tallapoosa County,3,"",10760
22043,Grant Parish,52,"",10780
22079,Rapides Parish,52,"",10780
27041,Douglas County,11,"",10820
48249,Jim Wells County,25,"",10860
26005,Allegan County,35,"",10880
34041,Warren County,33,"",10900
42025,Carbon County,34,"",10900
42077,Lehigh County,34,"",10900
42095,Northampton County,34,"",10900
26057,Gratiot County,35,"",10940
26007,Alpena County,35,"",10980
42013,Blair County,34,"",11020
40065,Jackson County,36,"",11060
48011,Armstrong County,25,"",11100
48065,Carson County,25,"",11100
48375,Potter County,25,"",11100
48381,Randall County,25,"",11100
13249,Schley County,24,"",11140
13261,Sumter County,24,"",11140
19169,Story County,15,"",11180
36057,Montgomery County,4,"",11220
02020,Anchorage Municipality,49,"",11260
02170,Matanuska-Susitna Borough,49,"",11260
18095,Madison County,28,"",11300
45007,Anderson County,27,"",11340
48003,Andrews County,25,"",11380
18151,Steuben County,28,"",11420
