id,description,msa_id
14484,"Boston-Quincy, MA Metropolitan Division",14460
15764,"Cambridge-Newton-Framingham, MA Metropolitan Division",14460
37764,"Peabody, MA Metropolitan Division",14460
40484,"Rockingham County-Strafford County, NH Metropolitan Division",14460
16974,"Chicago-Naperville-Joliet, IL Metropolitan Division",16980
23844,"Gary, IN Metropolitan Division",16980
29404,"Lake County-Kenosha County, IL-WI Metropolitan Division",16980
19124,"Dallas-Plano-Irving, TX Metropolitan Division",19100
23104,"Fort Worth-Arlington, TX Metropolitan Division",19100
19804,"Detroit-Livonia-Dearborn, MI Metropolitan Division",19820
47644,"Warren-Troy-Farmington Hills, MI Metropolitan Division",19820
31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",31100
42044,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",31100
22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",33100
33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",33100
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",33100
20764,"Edison-New Brunswick, NJ Metropolitan Division",35620
35004,"Nassau-Suffolk, NY Metropolitan Division",35620
35644,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",35620
35084,"Newark-Union, NJ-PA Metropolitan Division",35620
15804,"Camden, NJ Metropolitan Division",37980
37964,"Philadelphia, PA Metropolitan Division",37980
48864,"Wilmington, DE-MD-NJ Metropolitan Division",37980
36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",41860
41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",41860
42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",42660
45104,"Tacoma, WA Metropolitan Division",42660
13644,"Bethesda-Frederick-Rockville, MD Metropolitan Division",47900
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",47900
