id,description,msa
1,"Abbeville, LA Micropolitan Statistical Area",10020
2,"Aberdeen, SD Micropolitan Statistical Area",10100
3,"Aberdeen, WA Micropolitan Statistical Area",10140
4,"Abilene, TX Metropolitan Statistical Area",10180
5,"Ada, OK Micropolitan Statistical Area",10220
6,"Adjuntas, PR Micropolitan Statistical Area",10260
7,"Adrian, MI Micropolitan Statistical Area",10300
8,"Aguadilla-Isabela-San Sebastián, PR Metropolitan Statistical Area",10380
9,"Akron, OH Metropolitan Statistical Area",10420
10,"Alamogordo, NM Micropolitan Statistical Area",10460
11,"Albany, GA Metropolitan Statistical Area",10500
12,"Albany-Lebanon, OR Micropolitan Statistical Area",10540
13,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",10580
14,"Albemarle, NC Micropolitan Statistical Area",10620
15,"Albert Lea, MN Micropolitan Statistical Area",10660
16,"Albertville, AL Micropolitan Statistical Area",10700
17,"Albuquerque, NM Metropolitan Statistical Area",10740
18,"Alexander City, AL Micropolitan Statistical Area",10760
19,"Alexandria, LA Metropolitan Statistical Area",10780
20,"Alexandria, MN Micropolitan Statistical Area",10820
21,"Alice, TX Micropolitan Statistical Area",10860
22,"Allegan, MI Micropolitan Statistical Area",10880
23,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",10900
24,"Alma, MI Micropolitan Statistical Area",10940
25,"Alpena, MI Micropolitan Statistical Area",10980
26,"Altoona, PA Metropolitan Statistical Area",11020
27,"Altus, OK Micropolitan Statistical Area",11060
28,"Amarillo, TX Metropolitan Statistical Area",11100
29,"Americus, GA Micropolitan Statistical Area",11140
30,"Ames, IA Metropolitan Statistical Area",11180
31,"Amsterdam, NY Micropolitan Statistical Area",11220
32,"Anchorage, AK Metropolitan Statistical Area",11260
33,"Anderson, IN Metropolitan Statistical Area",11300
34,"Anderson, SC Metropolitan Statistical Area",11340
35,"Andrews, TX Micropolitan Statistical Area",11380
36,"Angola, IN Micropolitan Statistical Area",11420
37,"Ann Arbor, MI Metropolitan Statistical Area",11460
38,"Anniston-Oxford, AL Metropolitan Statistical Area",11500
39,"Appleton, WI Metropolitan Statistical Area",11540
40,"Arcadia, FL Micropolitan Statistical Area",11580
41,"Ardmore, OK Micropolitan Statistical Area",11620
42,"Arkadelphia, AR Micropolitan Statistical Area",11660
43,"Asheville, NC Metropolitan Statistical Area",11700
44,"Ashland, OH Micropolitan Statistical Area",11740
45,"Ashtabula, OH Micropolitan Statistical Area",11780
46,"Astoria, OR Micropolitan Statistical Area",11820
47,"Atchison, KS Micropolitan Statistical Area",11860
48,"Athens, OH Micropolitan Statistical Area",11900
49,"Athens, TN Micropolitan Statistical Area",11940
50,"Athens, TX Micropolitan Statistical Area",11980
51,"Athens-Clarke County, GA Metropolitan Statistical Area",12020
52,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",12060
53,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",12100
54,"Auburn, IN Micropolitan Statistical Area",12140
55,"Auburn, NY Micropolitan Statistical Area",12180
56,"Auburn-Opelika, AL Metropolitan Statistical Area",12220
57,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",12260
58,"Augusta-Waterville, ME Micropolitan Statistical Area",12300
59,"Austin, MN Micropolitan Statistical Area",12380
60,"Austin-Round Rock, TX Metropolitan Statistical Area",12420
61,"Bainbridge, GA Micropolitan Statistical Area",12460
62,"Bakersfield, CA Metropolitan Statistical Area",12540
63,"Baltimore-Towson, MD Metropolitan Statistical Area",12580
64,"Bangor, ME Metropolitan Statistical Area",12620
